,_id,admin,allGroups,amount,cash,cashDoc,contents,context,description,gameCode,group,groupName,humanTime,item,itemNo,key,newPrice,newYearValue,note,oldPrice,player,playername,pointsAwarded,price,recipient,recipientGroup,recipientName,recvAmt,recvRes,recvResNo,recvResRecipient,recvResRequester,reqAmt,reqId,reqLogContents,reqRes,reqResNo,reqResRecipient,reqResRequester,requester,requesterGroup,requesterName,response,size,startingYear,stockDoc,timestamp,user,year,zone
2193,WAebph7w8JPYLyQhC,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,pearl,e8,StockPriceChange,8.52,,,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2194,Noy2wozcoSj8vsKCn,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2195,ge3gvcPoGB2WYz8Hn,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,diamond,e4,StockPriceChange,8.82,,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2196,rqAAkczJKrWAoQxt6,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2197,4EhwaWXj899pRuoB9,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,silver,e2,StockPriceChange,9.49,,,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2198,3JAKPScZkaAaec75E,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2199,mQfAyaXfZoyF88uqR,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,water,c2,StockPriceChange,2.45,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2200,jpFW3pmsDicXb8zju,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2201,rBKdoBgwagMSMKHfc,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,stone,c6,StockPriceChange,4.62,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2202,foMxY3gB4dYiZPxQD,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2203,dDxLi9gDAGMTcJbRD,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,oil,c7,StockPriceChange,3.57,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2204,YwJQtLafuQYvhQ3dX,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2205,RY5kyf8fjQKXGBG4f,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,food,c3,StockPriceChange,1.42,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2206,YmdWLifQTqznhiodN,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
